Subject,LOCATION,Country,FREQUENCY,TIME,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1968-Q1,PC,Percentage,0,Units,,,5.133333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1968-Q2,PC,Percentage,0,Units,,,5.316667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1968-Q3,PC,Percentage,0,Units,,,5.083333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1968-Q4,PC,Percentage,0,Units,,,4.933333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1969-Q1,PC,Percentage,0,Units,,,5.116667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1969-Q2,PC,Percentage,0,Units,,,5.6,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1969-Q3,PC,Percentage,0,Units,,,5.9,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1969-Q4,PC,Percentage,0,Units,,,5.65,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1970-Q1,PC,Percentage,0,Units,,,6.416667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1970-Q2,PC,Percentage,0,Units,,,8.8,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1970-Q3,PC,Percentage,0,Units,,,6.85,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1970-Q4,PC,Percentage,0,Units,,,6.366667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1971-Q1,PC,Percentage,0,Units,,,7.4,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1971-Q2,PC,Percentage,0,Units,,,7.916667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1971-Q3,PC,Percentage,0,Units,,,6.65,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1971-Q4,PC,Percentage,0,Units,,,6.066667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1972-Q1,PC,Percentage,0,Units,,,5.533333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1972-Q2,PC,Percentage,0,Units,,,5.616667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1972-Q3,PC,Percentage,0,Units,,,4.566667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1972-Q4,PC,Percentage,0,Units,,,4.616667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1973-Q1,PC,Percentage,0,Units,,,4.983333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1973-Q2,PC,Percentage,0,Units,,,6.2,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1973-Q3,PC,Percentage,0,Units,,,7.383333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1973-Q4,PC,Percentage,0,Units,,,9.366667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1974-Q1,PC,Percentage,0,Units,,,9.616667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1974-Q2,PC,Percentage,0,Units,,,18.93333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1974-Q3,PC,Percentage,0,Units,,,13.93333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1974-Q4,PC,Percentage,0,Units,,,10.15,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1975-Q1,PC,Percentage,0,Units,,,8.9,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1975-Q2,PC,Percentage,0,Units,,,9.166667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1975-Q3,PC,Percentage,0,Units,,,8.133333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1975-Q4,PC,Percentage,0,Units,,,7.9,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1976-Q1,PC,Percentage,0,Units,,,8.133333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1976-Q2,PC,Percentage,0,Units,,,10.04,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1976-Q3,PC,Percentage,0,Units,,,9.446667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1976-Q4,PC,Percentage,0,Units,,,9.34,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1977-Q1,PC,Percentage,0,Units,,,9.323334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1977-Q2,PC,Percentage,0,Units,,,10.91667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1977-Q3,PC,Percentage,0,Units,,,10.68333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1977-Q4,PC,Percentage,0,Units,,,9.926666,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1978-Q1,PC,Percentage,0,Units,,,9.693334,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1978-Q2,PC,Percentage,0,Units,,,10.69667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1978-Q3,PC,Percentage,0,Units,,,9.753333,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1978-Q4,PC,Percentage,0,Units,,,9.23,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1979-Q1,PC,Percentage,0,Units,,,8.756667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1979-Q2,PC,Percentage,0,Units,,,10.40667,,
"Short-term interest rates, Per cent per annum",AUS,Australia,Q,1979-Q3,PC,Percentage,0,Units,,,9.836667,,
