Subject,LOCATION,Country,FREQUENCY,TIME,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1960-Q3,IDX,Index,0,Units,2015_100,2015=100,0.522507,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1960-Q4,IDX,Index,0,Units,2015_100,2015=100,0.5182216,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1961-Q1,IDX,Index,0,Units,2015_100,2015=100,0.4964364,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1961-Q2,IDX,Index,0,Units,2015_100,2015=100,0.4899422,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1961-Q3,IDX,Index,0,Units,2015_100,2015=100,0.4877681,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1961-Q4,IDX,Index,0,Units,2015_100,2015=100,0.4911091,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1962-Q1,IDX,Index,0,Units,2015_100,2015=100,0.4951339,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1962-Q2,IDX,Index,0,Units,2015_100,2015=100,0.5011199,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1962-Q3,IDX,Index,0,Units,2015_100,2015=100,0.5038677,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1962-Q4,IDX,Index,0,Units,2015_100,2015=100,0.5020157,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1963-Q1,IDX,Index,0,Units,2015_100,2015=100,0.5057474,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1963-Q2,IDX,Index,0,Units,2015_100,2015=100,0.5110889,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1963-Q3,IDX,Index,0,Units,2015_100,2015=100,0.5215889,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1963-Q4,IDX,Index,0,Units,2015_100,2015=100,0.5333884,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1964-Q1,IDX,Index,0,Units,2015_100,2015=100,0.5476442,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1964-Q2,IDX,Index,0,Units,2015_100,2015=100,0.5549565,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1964-Q3,IDX,Index,0,Units,2015_100,2015=100,0.5612561,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1964-Q4,IDX,Index,0,Units,2015_100,2015=100,0.5657582,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1965-Q1,IDX,Index,0,Units,2015_100,2015=100,0.5672269,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1965-Q2,IDX,Index,0,Units,2015_100,2015=100,0.5629603,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1965-Q3,IDX,Index,0,Units,2015_100,2015=100,0.5586283,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1965-Q4,IDX,Index,0,Units,2015_100,2015=100,0.5548636,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1966-Q1,IDX,Index,0,Units,2015_100,2015=100,0.558121,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1966-Q2,IDX,Index,0,Units,2015_100,2015=100,0.564895,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1966-Q3,IDX,Index,0,Units,2015_100,2015=100,0.5746614,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1966-Q4,IDX,Index,0,Units,2015_100,2015=100,0.5903026,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1967-Q1,IDX,Index,0,Units,2015_100,2015=100,0.5998644,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1967-Q2,IDX,Index,0,Units,2015_100,2015=100,0.6038259,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1967-Q3,IDX,Index,0,Units,2015_100,2015=100,0.6145283,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1967-Q4,IDX,Index,0,Units,2015_100,2015=100,0.6264395,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1968-Q1,IDX,Index,0,Units,2015_100,2015=100,0.638635,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1968-Q2,IDX,Index,0,Units,2015_100,2015=100,0.6478258,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1968-Q3,IDX,Index,0,Units,2015_100,2015=100,0.6613672,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1968-Q4,IDX,Index,0,Units,2015_100,2015=100,0.6705533,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1969-Q1,IDX,Index,0,Units,2015_100,2015=100,0.6854734,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1969-Q2,IDX,Index,0,Units,2015_100,2015=100,0.7016506,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1969-Q3,IDX,Index,0,Units,2015_100,2015=100,0.7156501,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1969-Q4,IDX,Index,0,Units,2015_100,2015=100,0.7247982,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1970-Q1,IDX,Index,0,Units,2015_100,2015=100,0.7431638,,
"Narrow Money (M1) Index, SA",AUS,Australia,Q,1970-Q2,IDX,Index,0,Units,2015_100,2015=100,0.7498018,,
